account,orig_pnl,adj_pnl,delta
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,188038.00608639893,-752125.8001336011
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,769763.5035415961,-66317.04953540384
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,2143382.59768879,-2.100132405757904e-07
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-167621.1247811842,-1.841981429606676e-07
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,103343.71616084763,-1.523731043562293e-07
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,1600229.8199788746,-1.2526288628578186e-07
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,403011.5041588771,-1.228763721883297e-07
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,132464.8145538902,-1.0980875231325626e-07
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,220519.06185289644,-1.0355142876505852e-07
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,199505.59273195014,-4.9854861572384834e-08
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,429355.565914979,-2.1012965589761734e-08
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,126578.94213398344,-1.6560079529881477e-08
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,308975.86971598555,-1.4435499906539917e-08
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-31203.59998601077,-1.076841726899147e-08
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,106302.87525599237,-7.62520357966423e-09
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,14456.919335993669,-6.328264134936035e-09
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,108731.21677199578,-4.220055416226387e-09
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,47885.320513996965,-3.0340743251144886e-09
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,677747.0506429973,-2.7939677238464355e-09
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,840422.5552159981,-1.862645149230957e-09
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,53496.24724299837,-1.6298145055770874e-09
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,14900.443046998631,-1.36969902087003e-09
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,21758.831752999115,-8.840288501232862e-10
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,22488.500820999176,-8.258211892098188e-10
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,65513.657905999644,-3.5652192309498787e-10
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,72846.48427199994,-5.820766091346741e-11
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,67845.61953099995,-5.820766091346741e-11
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,416541.872341,0.0
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-70436.1913179972,2.7939677238464355e-09
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,43917.008976011806,1.18088792078197e-08
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,386600.67308625125,7505.266375251231
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,179101.1508835998,10443.145889599808
