account,total_pnl,avg_win_rate,avg_trades_per_day,avg_size,days_active,avg_leverage,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,0.21575816912527274,1909.0,15578.066878995556,2,-863.1248203628959,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,0.46955348697496196,2426.6666666666665,1906.5233284896324,3,8266.647513900687,0
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,0.36929299463699206,952.25,14218.63613205118,4,-3654.8494632431766,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,0.4847567564449653,4437.0,371.60323496414884,3,12246.727386124177,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,0.5360783250847444,1079.6666666666667,2229.6514397989154,3,259565.09895856644,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599985999997,0.30277683157339313,116.42857142857143,4641.725901359306,7,39434.03398953715,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336000003,0.4235405579745203,1794.5,4677.615483087406,2,-79621.88713098866,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,0.4869481266941443,166.0,3562.32316586833,2,10507.217790941937,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59273200002,0.23009302325581393,191.5,5522.192161395349,2,-2749.116382178134,0
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,0.46367791200848174,247.4,2762.455333532852,5,73100.68100682591,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,0.3537491294504847,2839.6666666666665,468.33655968546356,3,-3974.758633084484,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,0.4494324775411762,1452.0,9651.328961054363,3,-50514.82063070854,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,0.3707281163966355,1516.8,14823.156253910474,5,7.596981914012443,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,0.27259817516018064,4078.6666666666665,24239.906480808688,3,8417.802274974803,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,0.4601139601139601,325.0,661.7168000965918,3,1775.5317462673627,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,0.34457100555323206,530.0,8598.57062716832,3,4198.150979625065,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,0.3916019174412428,476.6666666666667,1899.3136578709102,3,-27567.027730380112,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,0.6871135410055327,1978.6,1846.8142402443996,5,-12042.082863112348,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,0.6255469755469756,779.5,20091.781643500646,2,-228.6573987781918,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.12478100002,0.28803382609588335,1533.6666666666667,2232.1453708551485,3,-324704.889212224,2
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,0.22270790280409222,637.0,4398.446222602147,3,-475.7885865321043,0
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,0.2645334184771655,3749.5,912.7630141680638,4,-566823.3375684812,2
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,0.16082683282380303,1017.3333333333334,4449.854833323051,3,195876.09523915182,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,0.35079305016447826,5201.666666666667,1283.5768803428782,3,2454.581689309964,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,0.4773045688426012,139.0,3460.7354680222347,3,109098.21921698145,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,0.40658936911348037,187.66666666666666,2981.622475372886,3,179959.86330915618,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753000002,0.27301587301587305,267.0,5151.995371428571,2,1.0639787794895237,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,0.306417060377352,2455.5,4587.336474130545,6,33450.75037062284,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,0.4386109962794543,4838.0,22504.555828854896,1,31.90497553947913,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,0.7337659273242095,10596.0,1608.897593204342,2,49295.577890829016,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.06185300002,0.17730759401635732,880.3333333333334,7887.472397647238,3,-80634.53903196855,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,0.4390458840160791,13394.666666666666,1968.745114850234,3,8032.4276424970885,1
